Instance name		n		A		F		M		N

G-ex			8		True		0		?!		3
P3			3		True		1		1		-1
bht			5757		False		0		?!		6
grid-25-1		625		True		0		?!		123
grid-25-2		625		True		5		?!		-1
grid-5-0		25		True		0		?!		14
grid-5-1		25		True		0		?!		8
grid-5-2		25		True		1		?!		-1
grid-50-0		2500		False		0		?!		1249
grid-50-1		2500		False		0		?!		521
grid-50-2		2500		False		11		?!		-1
increase-n10-1		10		True		1		2		1
increase-n10-2		10		True		2		3		1
increase-n10-3		10		False		-1		-1		-1
increase-n100-1		100		False		-1		-1		-1
increase-n100-2		100		True		2		13		1
increase-n100-3		100		False		-1		-1		-1
increase-n20-1		20		False		-1		-1		-1
increase-n20-2		20		True		1		5		1
increase-n20-3		20		False		-1		-1		-1
increase-n50-1		50		False		-1		-1		-1
increase-n50-2		50		True		1		5		1
increase-n50-3		50		True		1		4		1
increase-n500-1		500		True		2		16		1
increase-n500-2		500		True		1		17		1
increase-n500-3		500		True		1		16		1
increase-n8-1		8		True		1		2		1
increase-n8-2		8		True		1		1		1
increase-n8-3		8		True		0		1		1
rusty-1-17		17		False		0		?!		10
rusty-1-2000		2000		False		-1		?!		-1
rusty-1-2500		2500		False		-1		?!		-1
rusty-1-3000		3000		False		0		?!		14
rusty-1-3500		3500		False		0		?!		14
rusty-1-4000		4000		False		0		?!		13
rusty-1-4500		4500		False		0		?!		7
rusty-1-5000		5000		False		0		?!		7
rusty-1-5757		5757		False		0		?!		7
rusty-2-2000		2000		False		0		?!		5
rusty-2-2500		2500		False		0		?!		4
rusty-2-3000		3000		False		0		?!		4
rusty-2-3500		3500		False		0		?!		4
rusty-2-4000		4000		False		0		?!		4
rusty-2-4500		4500		False		0		?!		4
rusty-2-5000		5000		False		0		?!		4
rusty-2-5757		5757		False		0		?!		4
ski-illustration	36		False		0		1		8
ski-level10-1		79		False		-1		-1		-1
ski-level10-2		76		False		1		4		-1
ski-level10-3		77		False		4		7		-1
ski-level20-1		252		False		3		10		-1
ski-level20-2		253		False		9		14		-1
ski-level20-3		254		False		-1		-1		-1
ski-level3-1		16		True		1		3		5
ski-level3-2		14		False		0		1		5
ski-level3-3		15		False		0		1		5
ski-level5-1		29		False		1		3		-1
ski-level5-2		26		False		1		2		-1
ski-level5-3		27		False		0		0		7
smallworld-10-0		100		False		0		?!		6
smallworld-10-1		100		True		0		?!		8
smallworld-20-0		400		False		0		?!		8
smallworld-20-1		400		True		1		?!		14
smallworld-3-0		9		False		1		?!		4
smallworld-3-1		9		False		1		?!		2
smallworld-30-0		900		False		0		?!		9
smallworld-30-1		900		True		1		?!		11
smallworld-40-0		1600		False		0		?!		8
smallworld-40-1		1600		True		1		?!		13
smallworld-50-0		2500		False		0		?!		3
smallworld-50-1		2500		True		2		?!		-1
wall-n-1		8		False		0		?!		1
wall-n-10		80		False		0		?!		1
wall-n-100		800		False		0		?!		1
wall-n-1000		8000		False		0		?!		1
wall-n-10000		80000		False		0				1
wall-n-2		16		False		0		?!		1
wall-n-3		24		False		0		?!		1
wall-n-4		32		False		0		?!		1
wall-p-1		8		False		0		?!		1
wall-p-10		62		False		0		?!		1
wall-p-100		602		False		0		?!		1
wall-p-1000		6002		False		0		?!		1
wall-p-10000		60002		False		0		?!		1
wall-p-2		14		False		0		?!		1
wall-p-3		20		False		0		?!		1
wall-p-4		26		False		0		?!		1
wall-z-1		8		False		0		?!		1
wall-z-10		71		False		0		?!		1
wall-z-100		701		False		0		?!		1
wall-z-1000		7001		False		0		?!		1
wall-z-10000		70001		False		0		?!		1
wall-z-2		15		False		0		?!		1
wall-z-3		22		False		0		?!		1
wall-z-4		29		False		0		?!		1
